srtm_12_04,X,Y
1776.0000000000,-122.1516660600,43.0866668120
1769.0000000000,-122.1508327300,43.0866668120
1774.0000000000,-122.1499993900,43.0866668120
1778.0000000000,-122.1491660600,43.0866668120
1781.0000000000,-122.1483327300,43.0866668120
1788.0000000000,-122.1474993900,43.0866668120
1792.0000000000,-122.1466660600,43.0866668120
1794.0000000000,-122.1458327300,43.0866668120
1789.0000000000,-122.1449993900,43.0866668120
1792.0000000000,-122.1441660600,43.0866668120
1801.0000000000,-122.1433327300,43.0866668120
1808.0000000000,-122.1424993900,43.0866668120
1815.0000000000,-122.1416660600,43.0866668120
1825.0000000000,-122.1408327300,43.0866668120
1829.0000000000,-122.1399993900,43.0866668120
1827.0000000000,-122.1391660600,43.0866668120
1825.0000000000,-122.1383327300,43.0866668120
1820.0000000000,-122.1374993900,43.0866668120
1810.0000000000,-122.1366660600,43.0866668120
1800.0000000000,-122.1358327300,43.0866668120
1794.0000000000,-122.1349993900,43.0866668120
1786.0000000000,-122.1341660600,43.0866668120
1784.0000000000,-122.1333327300,43.0866668120
1785.0000000000,-122.1324993900,43.0866668120
1786.0000000000,-122.1316660600,43.0866668120
1788.0000000000,-122.1308327300,43.0866668120
1790.0000000000,-122.1299993900,43.0866668120
1790.0000000000,-122.1291660600,43.0866668120
1790.0000000000,-122.1283327300,43.0866668120
1790.0000000000,-122.1274993900,43.0866668120
1791.0000000000,-122.1266660600,43.0866668120
1790.0000000000,-122.1258327300,43.0866668120
1789.0000000000,-122.1249993900,43.0866668120
1785.0000000000,-122.1241660600,43.0866668120
1781.0000000000,-122.1233327300,43.0866668120
1780.0000000000,-122.1224993900,43.0866668120
1779.0000000000,-122.1216660600,43.0866668120
1779.0000000000,-122.1208327300,43.0866668120
1778.0000000000,-122.1199993900,43.0866668120
1776.0000000000,-122.1191660600,43.0866668120
1774.0000000000,-122.1183327300,43.0866668120
1774.0000000000,-122.1174993900,43.0866668120
1772.0000000000,-122.1166660600,43.0866668120
1775.0000000000,-122.1158327300,43.0866668120
1775.0000000000,-122.1149993900,43.0866668120
1774.0000000000,-122.1141660600,43.0866668120
1772.0000000000,-122.1133327300,43.0866668120
1771.0000000000,-122.1124993900,43.0866668120
1772.0000000000,-122.1116660600,43.0866668120
1774.0000000000,-122.1108327300,43.0866668120
1774.0000000000,-122.1099993900,43.0866668120
1776.0000000000,-122.1091660600,43.0866668120
1775.0000000000,-122.1083327300,43.0866668120
1776.0000000000,-122.1074993900,43.0866668120
1779.0000000000,-122.1066660600,43.0866668120
1782.0000000000,-122.1058327300,43.0866668120
1786.0000000000,-122.1049993900,43.0866668120
1788.0000000000,-122.1041660600,43.0866668120
1791.0000000000,-122.1033327300,43.0866668120
1793.0000000000,-122.1024993900,43.0866668120
1796.0000000000,-122.1016660600,43.0866668120
1800.0000000000,-122.1008327300,43.0866668120
1804.0000000000,-122.0999993900,43.0866668120
1809.0000000000,-122.0991660600,43.0866668120
1813.0000000000,-122.0983327300,43.0866668120
1811.0000000000,-122.0974993900,43.0866668120
1809.0000000000,-122.0966660600,43.0866668120
1808.0000000000,-122.0958327300,43.0866668120
1810.0000000000,-122.0949993900,43.0866668120
1811.0000000000,-122.0941660600,43.0866668120
1816.0000000000,-122.0933327300,43.0866668120
1817.0000000000,-122.0924993900,43.0866668120
1814.0000000000,-122.0916660600,43.0866668120
1812.0000000000,-122.0908327300,43.0866668120
1812.0000000000,-122.0899993900,43.0866668120
1811.0000000000,-122.0891660600,43.0866668120
1811.0000000000,-122.0883327300,43.0866668120
1805.0000000000,-122.0874993900,43.0866668120
1803.0000000000,-122.0866660600,43.0866668120
1802.0000000000,-122.0858327300,43.0866668120
1800.0000000000,-122.0849993900,43.0866668120
1800.0000000000,-122.0841660600,43.0866668120
1796.0000000000,-122.0833327300,43.0866668120
1793.0000000000,-122.0824993900,43.0866668120
1791.0000000000,-122.0816660600,43.0866668120
1789.0000000000,-122.0808327300,43.0866668120
1788.0000000000,-122.0799993900,43.0866668120
1788.0000000000,-122.0791660600,43.0866668120
1788.0000000000,-122.0783327300,43.0866668120
1786.0000000000,-122.0774993900,43.0866668120
1787.0000000000,-122.0766660600,43.0866668120
1786.0000000000,-122.0758327300,43.0866668120
1787.0000000000,-122.0749993900,43.0866668120
1789.0000000000,-122.0741660600,43.0866668120
1789.0000000000,-122.0733327300,43.0866668120
1789.0000000000,-122.0724993900,43.0866668120
1786.0000000000,-122.0716660600,43.0866668120
1782.0000000000,-122.0708327300,43.0866668120
1781.0000000000,-122.0699993900,43.0866668120
1779.0000000000,-122.0691660600,43.0866668120
1777.0000000000,-122.0683327300,43.0866668120
1779.0000000000,-122.0674993900,43.0866668120
1775.0000000000,-122.0666660600,43.0866668120
1774.0000000000,-122.0658327300,43.0866668120
1771.0000000000,-122.0649993900,43.0866668120
1775.0000000000,-122.0641660600,43.0866668120
1784.0000000000,-122.0633327300,43.0866668120
1795.0000000000,-122.0624993900,43.0866668120
1790.0000000000,-122.0616660600,43.0866668120
1774.0000000000,-122.0608327300,43.0866668120
1761.0000000000,-122.0599993900,43.0866668120
1754.0000000000,-122.0591660600,43.0866668120
1752.0000000000,-122.0583327300,43.0866668120
1751.0000000000,-122.0574993900,43.0866668120
1751.0000000000,-122.0566660600,43.0866668120
1748.0000000000,-122.0558327300,43.0866668120
1747.0000000000,-122.0549993900,43.0866668120
1746.0000000000,-122.0541660600,43.0866668120
1746.0000000000,-122.0533327300,43.0866668120
1742.0000000000,-122.0524993900,43.0866668120
1740.0000000000,-122.0516660600,43.0866668120
1740.0000000000,-122.0508327300,43.0866668120
1740.0000000000,-122.0499993900,43.0866668120
1738.0000000000,-122.0491660600,43.0866668120
1736.0000000000,-122.0483327300,43.0866668120
1736.0000000000,-122.0474993900,43.0866668120
1735.0000000000,-122.0466660600,43.0866668120
1733.0000000000,-122.0458327300,43.0866668120
1731.0000000000,-122.0449993900,43.0866668120
1728.0000000000,-122.0441660600,43.0866668120
1726.0000000000,-122.0433327300,43.0866668120
1724.0000000000,-122.0424993900,43.0866668120
1723.0000000000,-122.0416660600,43.0866668120
1721.0000000000,-122.0408327300,43.0866668120
1720.0000000000,-122.0399993900,43.0866668120
1719.0000000000,-122.0391660600,43.0866668120
1716.0000000000,-122.0383327300,43.0866668120
1713.0000000000,-122.0374993900,43.0866668120
1710.0000000000,-122.0366660600,43.0866668120
1708.0000000000,-122.0358327300,43.0866668120
1706.0000000000,-122.0349993900,43.0866668120
1704.0000000000,-122.0341660600,43.0866668120
1699.0000000000,-122.0333327300,43.0866668120
1696.0000000000,-122.0324993900,43.0866668120
1694.0000000000,-122.0316660600,43.0866668120
1690.0000000000,-122.0308327300,43.0866668120
1687.0000000000,-122.0299993900,43.0866668120
1686.0000000000,-122.0291660600,43.0866668120
1683.0000000000,-122.0283327300,43.0866668120
1680.0000000000,-122.0274993900,43.0866668120
1677.0000000000,-122.0266660600,43.0866668120
1676.0000000000,-122.0258327300,43.0866668120
1672.0000000000,-122.0249993900,43.0866668120
1670.0000000000,-122.0241660600,43.0866668120
1669.0000000000,-122.0233327300,43.0866668120
1668.0000000000,-122.0224993900,43.0866668120
1663.0000000000,-122.0216660600,43.0866668120
1662.0000000000,-122.0208327300,43.0866668120
1662.0000000000,-122.0199993900,43.0866668120
1657.0000000000,-122.0191660600,43.0866668120
1654.0000000000,-122.0183327300,43.0866668120
1648.0000000000,-122.0174993900,43.0866668120
1643.0000000000,-122.0166660600,43.0866668120
1643.0000000000,-122.0158327300,43.0866668120
1641.0000000000,-122.0149993900,43.0866668120
1639.0000000000,-122.0141660600,43.0866668120
1637.0000000000,-122.0133327300,43.0866668120
1635.0000000000,-122.0124993900,43.0866668120
1633.0000000000,-122.0116660600,43.0866668120
1631.0000000000,-122.0108327300,43.0866668120
1630.0000000000,-122.0099993900,43.0866668120
1627.0000000000,-122.0091660600,43.0866668120
1620.0000000000,-122.0083327300,43.0866668120
1614.0000000000,-122.0074993900,43.0866668120
1612.0000000000,-122.0066660600,43.0866668120
1612.0000000000,-122.0058327300,43.0866668120
1610.0000000000,-122.0049993900,43.0866668120
1600.0000000000,-122.2124993900,43.0825001450
1604.0000000000,-122.2116660600,43.0825001450
