USA_Canada,X,Y
0.0000000000,-118.5008333300,33.4841666420
0.0000000000,-118.5000000000,33.4841666420
0.0000000000,-118.4991666700,33.4841666420
0.0000000000,-118.4983333300,33.4841666420
0.0000000000,-118.4975000000,33.4841666420
0.0000000000,-118.4966666700,33.4841666420
0.0000000000,-118.4958333300,33.4841666420
0.0000000000,-118.4950000000,33.4841666420
0.0000000000,-118.4941666700,33.4841666420
0.0000000000,-118.4933333300,33.4841666420
0.0000000000,-118.4925000000,33.4841666420
0.0000000000,-118.4916666700,33.4841666420
0.0000000000,-118.4908333300,33.4841666420
0.0000000000,-118.4900000000,33.4841666420
0.0000000000,-118.4891666700,33.4841666420
0.0000000000,-118.4883333300,33.4841666420
0.0000000000,-118.4875000000,33.4841666420
0.0000000000,-118.4866666700,33.4841666420
0.0000000000,-118.4858333300,33.4841666420
0.0000000000,-118.4850000000,33.4841666420
0.0000000000,-118.4841666700,33.4841666420
0.0000000000,-118.4833333300,33.4841666420
0.0000000000,-118.4825000000,33.4841666420
0.0000000000,-118.4816666700,33.4841666420
0.0000000000,-118.4808333300,33.4841666420
0.0000000000,-118.4800000000,33.4841666420
0.0000000000,-118.4791666700,33.4841666420
0.0000000000,-118.4783333300,33.4841666420
0.0000000000,-118.4775000000,33.4841666420
0.0000000000,-118.4766666700,33.4841666420
0.0000000000,-118.4758333300,33.4841666420
0.0000000000,-118.4750000000,33.4841666420
0.0000000000,-118.4741666700,33.4841666420
0.0000000000,-118.4733333300,33.4841666420
0.0000000000,-118.4725000000,33.4841666420
0.0000000000,-118.4716666700,33.4841666420
0.0000000000,-118.4708333300,33.4841666420
0.0000000000,-118.4700000000,33.4841666420
0.0000000000,-118.4691666700,33.4841666420
0.0000000000,-118.4683333300,33.4841666420
0.0000000000,-118.4675000000,33.4841666420
0.0000000000,-118.4666666700,33.4841666420
0.0000000000,-118.4658333300,33.4841666420
0.0000000000,-118.4650000000,33.4841666420
0.0000000000,-118.4641666700,33.4841666420
0.0000000000,-118.4633333300,33.4841666420
0.0000000000,-118.4625000000,33.4841666420
0.0000000000,-118.4616666700,33.4841666420
0.0000000000,-118.4608333300,33.4841666420
0.0000000000,-118.4600000000,33.4841666420
0.0000000000,-118.4591666700,33.4841666420
0.0000000000,-118.4583333300,33.4841666420
0.0000000000,-118.4575000000,33.4841666420
0.0000000000,-118.4566666700,33.4841666420
0.0000000000,-118.4558333300,33.4841666420
0.0000000000,-118.4550000000,33.4841666420
0.0000000000,-118.4541666700,33.4841666420
0.0000000000,-118.4533333300,33.4841666420
0.0000000000,-118.4525000000,33.4841666420
0.0000000000,-118.4516666700,33.4841666420
0.0000000000,-118.4508333300,33.4841666420
0.0000000000,-118.4500000000,33.4841666420
0.0000000000,-118.4491666700,33.4841666420
0.0000000000,-118.4483333300,33.4841666420
0.0000000000,-118.4475000000,33.4841666420
0.0000000000,-118.4466666700,33.4841666420
0.0000000000,-118.4458333300,33.4841666420
0.0000000000,-118.4450000000,33.4841666420
0.0000000000,-118.4441666700,33.4841666420
0.0000000000,-118.4433333300,33.4841666420
0.0000000000,-118.4425000000,33.4841666420
